2009-08-28 09:28:44 Notice: Notice (8): Undefined variable: model in [APP/app_controller.php, line 17]
2009-08-28 09:29:36 Notice: Notice (8): Undefined property: ProductCategoriesController::$model in [APP/app_controller.php, line 18]
2009-08-28 12:21:13 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 27]
2009-08-28 12:21:13 Notice: Notice (8): Undefined variable: controller in [APP/app_controller.php, line 20]
2009-08-28 12:21:13 Notice: Notice (8): Trying to get property of non-object in [APP/app_controller.php, line 20]
2009-08-28 12:21:13 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 28]
2009-08-28 12:21:50 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 27]
2009-08-28 12:21:50 Notice: Notice (8): Undefined variable: controller in [APP/app_controller.php, line 20]
2009-08-28 12:21:50 Notice: Notice (8): Trying to get property of non-object in [APP/app_controller.php, line 20]
2009-08-28 12:21:50 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 28]
2009-08-28 12:23:24 Notice: Notice (8): Undefined variable: controller in [APP/app_controller.php, line 20]
2009-08-28 12:23:24 Notice: Notice (8): Trying to get property of non-object in [APP/app_controller.php, line 20]
2009-08-28 12:23:24 Notice: Notice (8): Undefined variable: controller in [APP/app_controller.php, line 23]
2009-08-28 12:23:24 Notice: Notice (8): Trying to get property of non-object in [APP/app_controller.php, line 23]
2009-08-31 10:40:57 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 17]
2009-08-31 10:42:59 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 17]
2009-08-31 10:43:01 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 17]
2009-08-31 10:43:01 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 17]
2009-08-31 10:43:02 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 17]
2009-08-31 10:43:02 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 17]
2009-08-31 10:48:09 Notice: Notice (8): Undefined variable: javascript in [APP/views/accounts/admin_edit.ctp, line 1]
2009-08-31 10:48:11 Notice: Notice (8): Undefined variable: javascript in [APP/views/accounts/admin_edit.ctp, line 1]
2009-08-31 11:02:15 Notice: Notice (8): Undefined variable: javascript in [APP/views/accounts/admin_edit.ctp, line 1]
2009-08-31 11:05:58 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 1]
2009-08-31 11:08:03 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 1]
2009-08-31 11:08:04 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 1]
2009-08-31 11:08:04 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 1]
2009-08-31 11:08:16 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/admin.ctp, line 1]
2009-08-31 11:09:28 Notice: Notice (8): Undefined variable: id in [APP/views/layouts/admin.ctp, line 44]
